date, county, stage, flips, cases, deaths
11/20/2020, Adams, Ohio,39001,678,11
11/21/2020, Adams, Ohio,39001,700,11
11/22/2020, Adams, Ohio,39001,706,11
11/23/2020, Adams, Ohio,39001,750,12
11/24/2020, Adams, Ohio,39001,783,13
11/25/2020, Adams, Ohio,39001,803,13
11/26/2020, Adams, Ohio,39001,803,13
11/27/2020, Adams, Ohio,39001,838,13
11/28/2020, Adams, Ohio,39001,847,13
11/29/2020, Adams, Ohio,39001,869,13
11/30/2020, Adams, Ohio,39001,877,13
12/1/2020, Adams, Ohio,39001,892,13
12/2/2020, Adams, Ohio,39001,903,13
12/3/2020, Adams, Ohio,39001,915,13
12/4/2020, Adams, Ohio,39001,930,13
12/5/2020, Adams, Ohio,39001,936,13
12/6/2020, Adams, Ohio,39001,938,13
12/7/2020, Adams, Ohio,39001,944,13
12/8/2020, Adams, Ohio,39001,989,13
12/9/2020, Adams, Ohio,39001,1013,13
12/10/2020, Adams, Ohio,39001,1032,13
12/11/2020, Adams, Ohio,39001,1056,13
12/12/2020, Adams, Ohio,39001,1069,13
12/13/2020, Adams, Ohio,39001,1075,13
12/14/2020, Adams, Ohio,39001,1082,13
12/15/2020, Adams, Ohio,39001,1100,14
12/16/2020, Adams, Ohio,39001,1113,14
12/17/2020, Adams, Ohio,39001,1132,14
12/18/2020, Adams, Ohio,39001,1145,14
12/19/2020, Adams, Ohio,39001,1159,14
12/20/2020, Adams, Ohio,39001,1163,14
12/21/2020, Adams, Ohio,39001,1179,14
12/22/2020, Adams, Ohio,39001,1223,14
12/23/2020, Adams, Ohio,39001,1245,14
12/24/2020, Adams, Ohio,39001,1259,14
12/25/2020, Adams, Ohio,39001,1259,14
12/26/2020, Adams, Ohio,39001,1269,14
12/27/2020, Adams, Ohio,39001,1284,14
12/28/2020, Adams, Ohio,39001,1294,14
12/29/2020, Adams, Ohio,39001,1322,14
12/30/2020, Adams, Ohio,39001,1336,14
12/31/2020, Adams, Ohio,39001,1367,14
1/1/2021, Adams, Ohio,39001,1367,14
1/2/2021, Adams, Ohio,39001,1395,14
1/3/2021, Adams, Ohio,39001,1410,14
1/4/2021, Adams, Ohio,39001,1423,14
1/5/2021, Adams, Ohio,39001,1446,14
1/6/2021, Adams, Ohio,39001,1466,14
1/7/2021, Adams, Ohio,39001,1502,14
1/8/2021, Adams, Ohio,39001,1531,15
1/9/2021, Adams, Ohio,39001,1552,15
1/10/2021, Adams, Ohio,39001,1561,15
1/11/2021, Adams, Ohio,39001,1562,15
1/12/2021, Adams, Ohio,39001,1586,15
1/13/2021, Adams, Ohio,39001,1592,15
1/14/2021, Adams, Ohio,39001,1608,15
1/15/2021, Adams, Ohio,39001,1618,15
1/16/2021, Adams, Ohio,39001,1655,15
1/17/2021, Adams, Ohio,39001,1656,15
1/18/2021, Adams, Ohio,39001,1658,15
1/19/2021, Adams, Ohio,39001,1674,15
1/20/2021, Adams, Ohio,39001,1695,15
1/21/2021, Adams, Ohio,39001,1720,15
1/22/2021, Adams, Ohio,39001,1730,15
1/23/2021, Adams, Ohio,39001,1761,15
1/24/2021, Adams, Ohio,39001,1769,15
1/25/2021, Adams, Ohio,39001,1777,15
1/26/2021, Adams, Ohio,39001,1798,15
1/27/2021, Adams, Ohio,39001,1833,15
1/28/2021, Adams, Ohio,39001,1860,15
1/29/2021, Adams, Ohio,39001,1903,15
1/30/2021, Adams, Ohio,39001,1952,15
1/31/2021, Adams, Ohio,39001,1952,15
2/1/2021, Adams, Ohio,39001,1953,15
2/2/2021, Adams, Ohio,39001,1971,15
2/3/2021, Adams, Ohio,39001,1990,15
2/4/2021, Adams, Ohio,39001,2004,15
2/5/2021, Adams, Ohio,39001,2023,15
2/6/2021, Adams, Ohio,39001,2030,15
2/7/2021, Adams, Ohio,39001,2036,15
2/8/2021, Adams, Ohio,39001,2047,15
2/9/2021, Adams, Ohio,39001,2072,15
2/10/2021, Adams, Ohio,39001,2079,15
2/11/2021, Adams, Ohio,39001,2084,16
2/12/2021, Adams, Ohio,39001,2093,24
2/13/2021, Adams, Ohio,39001,2104,27
2/14/2021, Adams, Ohio,39001,2105,27
2/15/2021, Adams, Ohio,39001,2106,28
2/16/2021, Adams, Ohio,39001,2114,29
2/17/2021, Adams, Ohio,39001,2114,29
2/18/2021, Adams, Ohio,39001,2118,29
2/19/2021, Adams, Ohio,39001,2118,30
11/20/2020, Allen, Ohio,39003,4353,83
11/21/2020, Allen, Ohio,39003,4410,84
11/22/2020, Allen, Ohio,39003,4463,84
11/23/2020, Allen, Ohio,39003,4606,85
11/24/2020, Allen, Ohio,39003,4654,85
11/25/2020, Allen, Ohio,39003,4949,89
11/26/2020, Allen, Ohio,39003,4949,89
11/27/2020, Allen, Ohio,39003,5183,89
11/28/2020, Allen, Ohio,39003,5251,89
11/29/2020, Allen, Ohio,39003,5342,89
11/30/2020, Allen, Ohio,39003,5406,90
12/1/2020, Allen, Ohio,39003,5506,93
12/2/2020, Allen, Ohio,39003,5594,94
12/3/2020, Allen, Ohio,39003,5699,95
12/4/2020, Allen, Ohio,39003,5792,97
12/5/2020, Allen, Ohio,39003,5940,98
12/6/2020, Allen, Ohio,39003,6017,98
12/7/2020, Allen, Ohio,39003,6111,98
12/8/2020, Allen, Ohio,39003,6350,100
12/9/2020, Allen, Ohio,39003,6433,101
12/10/2020, Allen, Ohio,39003,6583,102
12/11/2020, Allen, Ohio,39003,6666,102
12/12/2020, Allen, Ohio,39003,6765,102
12/13/2020, Allen, Ohio,39003,6847,102
12/14/2020, Allen, Ohio,39003,6925,102
12/15/2020, Allen, Ohio,39003,7014,103
12/16/2020, Allen, Ohio,39003,7095,103
12/17/2020, Allen, Ohio,39003,7243,104
12/18/2020, Allen, Ohio,39003,7318,105
12/19/2020, Allen, Ohio,39003,7405,105
12/20/2020, Allen, Ohio,39003,7499,105
12/21/2020, Allen, Ohio,39003,7598,105
12/22/2020, Allen, Ohio,39003,7689,105
12/23/2020, Allen, Ohio,39003,7750,105
12/24/2020, Allen, Ohio,39003,7825,108
12/25/2020, Allen, Ohio,39003,7825,108
12/26/2020, Allen, Ohio,39003,7923,108
12/27/2020, Allen, Ohio,39003,7983,108
12/28/2020, Allen, Ohio,39003,8023,109
12/29/2020, Allen, Ohio,39003,8096,110
12/30/2020, Allen, Ohio,39003,8186,110
12/31/2020, Allen, Ohio,39003,8308,111
1/1/2021, Allen, Ohio,39003,8308,111
1/2/2021, Allen, Ohio,39003,8446,111
1/3/2021, Allen, Ohio,39003,8468,111
1/4/2021, Allen, Ohio,39003,8493,114
1/5/2021, Allen, Ohio,39003,8580,117
1/6/2021, Allen, Ohio,39003,8707,118
1/7/2021, Allen, Ohio,39003,8845,118
1/8/2021, Allen, Ohio,39003,8929,119
1/9/2021, Allen, Ohio,39003,9025,119
1/10/2021, Allen, Ohio,39003,9064,119
1/11/2021, Allen, Ohio,39003,9156,119
1/12/2021, Allen, Ohio,39003,9204,122
1/13/2021, Allen, Ohio,39003,9260,122
1/14/2021, Allen, Ohio,39003,9355,126
1/15/2021, Allen, Ohio,39003,9423,126
1/16/2021, Allen, Ohio,39003,9481,126
1/17/2021, Allen, Ohio,39003,9511,126
1/18/2021, Allen, Ohio,39003,9579,126
1/19/2021, Allen, Ohio,39003,9639,126
1/20/2021, Allen, Ohio,39003,9695,126
1/21/2021, Allen, Ohio,39003,9774,126
1/22/2021, Allen, Ohio,39003,9826,126
1/23/2021, Allen, Ohio,39003,9897,126
1/24/2021, Allen, Ohio,39003,9945,126
1/25/2021, Allen, Ohio,39003,9988,127
1/26/2021, Allen, Ohio,39003,10031,128
1/27/2021, Allen, Ohio,39003,10073,129
1/28/2021, Allen, Ohio,39003,10120,132
1/29/2021, Allen, Ohio,39003,10166,132
1/30/2021, Allen, Ohio,39003,10220,132
1/31/2021, Allen, Ohio,39003,10242,132
2/1/2021, Allen, Ohio,39003,10273,132
2/2/2021, Allen, Ohio,39003,10320,133
2/3/2021, Allen, Ohio,39003,10348,133
2/4/2021, Allen, Ohio,39003,10388,133
2/5/2021, Allen, Ohio,39003,10411,134
2/6/2021, Allen, Ohio,39003,10439,134
2/7/2021, Allen, Ohio,39003,10454,134
2/8/2021, Allen, Ohio,39003,10460,135
2/9/2021, Allen, Ohio,39003,10471,136
2/10/2021, Allen, Ohio,39003,10489,136
2/11/2021, Allen, Ohio,39003,10526,153
2/12/2021, Allen, Ohio,39003,10570,210
2/13/2021, Allen, Ohio,39003,10589,225
2/14/2021, Allen, Ohio,39003,10605,226
2/15/2021, Allen, Ohio,39003,10617,227
2/16/2021, Allen, Ohio,39003,10635,227
2/17/2021, Allen, Ohio,39003,10644,227
2/18/2021, Allen, Ohio,39003,10655,228
2/19/2021, Allen, Ohio,39003,10679,229
11/20/2020, Ashland, Ohio,39005,920,21
11/21/2020, Ashland, Ohio,39005,945,21
11/22/2020, Ashland, Ohio,39005,983,22
11/23/2020, Ashland, Ohio,39005,1027,22
11/24/2020, Ashland, Ohio,39005,1052,22
11/25/2020, Ashland, Ohio,39005,1078,25
11/26/2020, Ashland, Ohio,39005,1078,25
11/27/2020, Ashland, Ohio,39005,1173,28
11/28/2020, Ashland, Ohio,39005,1207,29
11/29/2020, Ashland, Ohio,39005,1232,29
11/30/2020, Ashland, Ohio,39005,1251,29
12/1/2020, Ashland, Ohio,39005,1288,31
12/2/2020, Ashland, Ohio,39005,1328,33
12/3/2020, Ashland, Ohio,39005,1351,33
12/4/2020, Ashland, Ohio,39005,1390,33
12/5/2020, Ashland, Ohio,39005,1423,33
12/6/2020, Ashland, Ohio,39005,1455,34
12/7/2020, Ashland, Ohio,39005,1546,34
12/8/2020, Ashland, Ohio,39005,1749,35
12/9/2020, Ashland, Ohio,39005,1799,36
12/10/2020, Ashland, Ohio,39005,1838,36
12/11/2020, Ashland, Ohio,39005,1868,36
12/12/2020, Ashland, Ohio,39005,1944,36
12/13/2020, Ashland, Ohio,39005,1985,36
12/14/2020, Ashland, Ohio,39005,2026,36
12/15/2020, Ashland, Ohio,39005,2056,36
12/16/2020, Ashland, Ohio,39005,2078,36
12/17/2020, Ashland, Ohio,39005,2129,36
12/18/2020, Ashland, Ohio,39005,2196,36
12/19/2020, Ashland, Ohio,39005,2265,36
12/20/2020, Ashland, Ohio,39005,2327,36
